GEO_ID,NAME,B01003_001E,B01003_001M
8600000US00976,ZCTA5 00976,58640,1317
8600000US00979,ZCTA5 00979,16130,1266
8600000US00982,ZCTA5 00982,14346,893
8600000US00983,ZCTA5 00983,33947,1735
8600000US00985,ZCTA5 00985,31682,1316
8600000US00987,ZCTA5 00987,54241,2284
8600000US01001,ZCTA5 01001,17312,735
8600000US01002,ZCTA5 01002,30014,485
8600000US01003,ZCTA5 01003,11357,477
8600000US01005,ZCTA5 01005,5128,404
8600000US01007,ZCTA5 01007,15005,20
8600000US01008,ZCTA5 01008,1140,178
8600000US01009,ZCTA5 01009,261,198
8600000US01010,ZCTA5 01010,3658,17
8600000US01011,ZCTA5 01011,1430,170
8600000US01012,ZCTA5 01012,585,124
8600000US01013,ZCTA5 01013,22733,1045
8600000US01020,ZCTA5 01020,30108,1098
8600000US01022,ZCTA5 01022,2586,413
8600000US01026,ZCTA5 01026,933,116
8600000US01027,ZCTA5 01027,17818,99
8600000US01028,ZCTA5 01028,16242,38
8600000US01029,ZCTA5 01029,538,164
8600000US01030,ZCTA5 01030,11384,733
8600000US01031,ZCTA5 01031,1135,198
8600000US01032,ZCTA5 01032,495,114
8600000US01033,ZCTA5 01033,6322,16
8600000US01034,ZCTA5 01034,2186,205
8600000US01035,ZCTA5 01035,5319,27
8600000US01036,ZCTA5 01036,5178,39
8600000US01037,ZCTA5 01037,747,197
8600000US01038,ZCTA5 01038,2734,160
8600000US01039,ZCTA5 01039,1207,167
8600000US01040,ZCTA5 01040,40241,59
8600000US01050,ZCTA5 01050,2438,214
8600000US01053,ZCTA5 01053,1593,239
8600000US01054,ZCTA5 01054,2001,159
8600000US01056,ZCTA5 01056,21291,23
8600000US01057,ZCTA5 01057,8824,99
8600000US01060,ZCTA5 01060,15948,532
8600000US01062,ZCTA5 01062,10364,518
8600000US01063,ZCTA5 01063,611,176
8600000US01066,ZCTA5 01066,31,48
8600000US01068,ZCTA5 01068,1833,102
8600000US01069,ZCTA5 01069,8556,510
8600000US01070,ZCTA5 01070,648,94
8600000US01071,ZCTA5 01071,1318,198
8600000US01072,ZCTA5 01072,1478,134
8600000US01073,ZCTA5 01073,6144,33
8600000US01074,ZCTA5 01074,411,405
8600000US01075,ZCTA5 01075,17703,38
8600000US01077,ZCTA5 01077,9720,25
8600000US01079,ZCTA5 01079,781,317
8600000US01080,ZCTA5 01080,2709,399
8600000US01081,ZCTA5 01081,1883,226
8600000US01082,ZCTA5 01082,10580,192
8600000US01083,ZCTA5 01083,3094,464
8600000US01084,ZCTA5 01084,168,45
8600000US01085,ZCTA5 01085,41780,185
8600000US01086,ZCTA5 01086,363,160
8600000US01088,ZCTA5 01088,509,150
8600000US01089,ZCTA5 01089,28609,42
8600000US01092,ZCTA5 01092,1278,394
8600000US01093,ZCTA5 01093,313,95
8600000US01094,ZCTA5 01094,387,116
8600000US01095,ZCTA5 01095,14728,64
8600000US01096,ZCTA5 01096,2443,244
8600000US01097,ZCTA5 01097,56,59
8600000US01098,ZCTA5 01098,1263,119
8600000US01103,ZCTA5 01103,2332,242
8600000US01104,ZCTA5 01104,23740,1149
8600000US01105,ZCTA5 01105,11841,929
8600000US01106,ZCTA5 01106,15987,102
8600000US01107,ZCTA5 01107,11562,970
8600000US01108,ZCTA5 01108,27054,1299
8600000US01109,ZCTA5 01109,30383,1351
8600000US01118,ZCTA5 01118,14830,742
8600000US01119,ZCTA5 01119,13681,1029
8600000US01128,ZCTA5 01128,2541,351
8600000US01129,ZCTA5 01129,6941,657
8600000US01151,ZCTA5 01151,9032,632
8600000US01199,ZCTA5 01199,0,12
8600000US01201,ZCTA5 01201,44458,304
8600000US01220,ZCTA5 01220,8179,66
8600000US01222,ZCTA5 01222,807,222
8600000US01223,ZCTA5 01223,2443,205
8600000US01224,ZCTA5 01224,125,68
8600000US01225,ZCTA5 01225,3105,67
8600000US01226,ZCTA5 01226,6769,90
8600000US01229,ZCTA5 01229,91,53
8600000US01230,ZCTA5 01230,8525,480
8600000US01235,ZCTA5 01235,2567,186
8600000US01236,ZCTA5 01236,1311,411
8600000US01237,ZCTA5 01237,2488,305
8600000US01238,ZCTA5 01238,5814,331
8600000US01240,ZCTA5 01240,4453,269
8600000US01242,ZCTA5 01242,471,253
8600000US01243,ZCTA5 01243,268,74
8600000US01244,ZCTA5 01244,132,89
8600000US01245,ZCTA5 01245,836,147
8600000US01247,ZCTA5 01247,15466,147
8600000US01253,ZCTA5 01253,769,102
8600000US01254,ZCTA5 01254,902,76
8600000US01255,ZCTA5 01255,891,125
8600000US01256,ZCTA5 01256,680,94
8600000US01257,ZCTA5 01257,2017,300
8600000US01258,ZCTA5 01258,488,145
8600000US01259,ZCTA5 01259,540,97
8600000US01260,ZCTA5 01260,427,347
8600000US01262,ZCTA5 01262,1005,304
8600000US01264,ZCTA5 01264,206,98
8600000US01266,ZCTA5 01266,1295,169
8600000US01267,ZCTA5 01267,7753,47
8600000US01270,ZCTA5 01270,796,108
8600000US01301,ZCTA5 01301,17617,66
8600000US01330,ZCTA5 01330,1276,142
8600000US01331,ZCTA5 01331,13486,158
8600000US01337,ZCTA5 01337,2532,171
8600000US01338,ZCTA5 01338,113,57
8600000US01339,ZCTA5 01339,1371,158
8600000US01340,ZCTA5 01340,1779,165
8600000US01341,ZCTA5 01341,1929,155
8600000US01342,ZCTA5 01342,1259,313
8600000US01343,ZCTA5 01343,78,51
8600000US01344,ZCTA5 01344,1380,161
8600000US01346,ZCTA5 01346,471,89
8600000US01347,ZCTA5 01347,154,129
8600000US01349,ZCTA5 01349,1391,266
8600000US01350,ZCTA5 01350,87,33
8600000US01351,ZCTA5 01351,2114,257
8600000US01354,ZCTA5 01354,1596,174
8600000US01355,ZCTA5 01355,931,109
8600000US01360,ZCTA5 01360,2981,15
8600000US01364,ZCTA5 01364,7729,38
8600000US01366,ZCTA5 01366,1188,147
8600000US01367,ZCTA5 01367,639,154
8600000US01368,ZCTA5 01368,1377,197
8600000US01370,ZCTA5 01370,3852,253
8600000US01373,ZCTA5 01373,4854,392
8600000US01375,ZCTA5 01375,3647,16
8600000US01376,ZCTA5 01376,5013,280
8600000US01378,ZCTA5 01378,792,112
8600000US01379,ZCTA5 01379,829,122
8600000US01420,ZCTA5 01420,40702,34
8600000US01430,ZCTA5 01430,6297,30
8600000US01431,ZCTA5 01431,3220,25
8600000US01432,ZCTA5 01432,7699,259
8600000US01434,ZCTA5 01434,1969,428
8600000US01436,ZCTA5 01436,3374,628
8600000US01438,ZCTA5 01438,694,506
8600000US01440,ZCTA5 01440,20610,26
8600000US01450,ZCTA5 01450,11313,28
8600000US01451,ZCTA5 01451,4731,333
8600000US01452,ZCTA5 01452,4708,21
8600000US01453,ZCTA5 01453,41647,75
8600000US01460,ZCTA5 01460,10071,23
8600000US01462,ZCTA5 01462,11402,23
8600000US01463,ZCTA5 01463,12105,24
8600000US01464,ZCTA5 01464,7633,20
8600000US01467,ZCTA5 01467,276,167
8600000US01468,ZCTA5 01468,4062,621
8600000US01469,ZCTA5 01469,7670,291
8600000US01473,ZCTA5 01473,7766,22
8600000US01474,ZCTA5 01474,1803,288
8600000US01475,ZCTA5 01475,10825,35
8600000US01501,ZCTA5 01501,16619,35
8600000US01503,ZCTA5 01503,3182,28
8600000US01504,ZCTA5 01504,9263,23
8600000US01505,ZCTA5 01505,4623,18
8600000US01506,ZCTA5 01506,3441,21
8600000US01507,ZCTA5 01507,13550,22
8600000US01510,ZCTA5 01510,13935,29
8600000US01515,ZCTA5 01515,2040,170
8600000US01516,ZCTA5 01516,8859,20
8600000US01518,ZCTA5 01518,3947,529
8600000US01519,ZCTA5 01519,7042,532
8600000US01520,ZCTA5 01520,15781,384
8600000US01521,ZCTA5 01521,2630,250
8600000US01522,ZCTA5 01522,3270,387
8600000US01523,ZCTA5 01523,7794,208
8600000US01524,ZCTA5 01524,6654,490
8600000US01525,ZCTA5 01525,544,250
8600000US01527,ZCTA5 01527,13732,28
8600000US01529,ZCTA5 01529,3256,31
8600000US01531,ZCTA5 01531,1211,153
8600000US01532,ZCTA5 01532,15056,27
8600000US01534,ZCTA5 01534,6296,625
8600000US01535,ZCTA5 01535,4774,23
8600000US01536,ZCTA5 01536,7576,535
8600000US01537,ZCTA5 01537,2201,446
8600000US01540,ZCTA5 01540,11581,497
8600000US01541,ZCTA5 01541,3455,25
8600000US01542,ZCTA5 01542,2567,465
8600000US01543,ZCTA5 01543,8685,38
8600000US01545,ZCTA5 01545,37086,196
8600000US01550,ZCTA5 01550,16887,32
8600000US01560,ZCTA5 01560,4396,295
8600000US01561,ZCTA5 01561,209,190
8600000US01562,ZCTA5 01562,11928,29
8600000US01564,ZCTA5 01564,8091,18
8600000US01566,ZCTA5 01566,5592,530
8600000US01568,ZCTA5 01568,7894,28
8600000US01569,ZCTA5 01569,14025,57
8600000US01570,ZCTA5 01570,16973,27
8600000US01571,ZCTA5 01571,11723,26
8600000US01581,ZCTA5 01581,19037,37
8600000US01583,ZCTA5 01583,7693,106
8600000US01585,ZCTA5 01585,4569,323
8600000US01588,ZCTA5 01588,9750,670
8600000US01590,ZCTA5 01590,9404,72
8600000US01602,ZCTA5 01602,22900,931
8600000US01603,ZCTA5 01603,19731,1226
8600000US01604,ZCTA5 01604,38191,1500
8600000US01605,ZCTA5 01605,28533,1128
8600000US01606,ZCTA5 01606,19896,957
8600000US01607,ZCTA5 01607,8167,659
8600000US01608,ZCTA5 01608,4471,691
8600000US01609,ZCTA5 01609,21628,1188
8600000US01610,ZCTA5 01610,22023,1128
8600000US01611,ZCTA5 01611,2277,387
8600000US01612,ZCTA5 01612,4900,19
8600000US01701,ZCTA5 01701,32590,765
8600000US01702,ZCTA5 01702,39799,780
8600000US01718,ZCTA5 01718,790,295
8600000US01719,ZCTA5 01719,5561,20
8600000US01720,ZCTA5 01720,22791,304
8600000US01721,ZCTA5 01721,17710,24
8600000US01730,ZCTA5 01730,14070,52
8600000US01731,ZCTA5 01731,2059,142
8600000US01740,ZCTA5 01740,5299,25
8600000US01741,ZCTA5 01741,5224,18
8600000US01742,ZCTA5 01742,19121,104
8600000US01745,ZCTA5 01745,595,215
8600000US01746,ZCTA5 01746,14724,40
8600000US01747,ZCTA5 01747,5947,38
8600000US01748,ZCTA5 01748,17598,30
8600000US01749,ZCTA5 01749,19887,23
8600000US01752,ZCTA5 01752,39736,24
8600000US01754,ZCTA5 01754,10754,29
8600000US01756,ZCTA5 01756,6115,23
8600000US01757,ZCTA5 01757,28883,35
8600000US01760,ZCTA5 01760,35761,197
8600000US01770,ZCTA5 01770,4316,24
8600000US01772,ZCTA5 01772,9526,217
8600000US01773,ZCTA5 01773,4884,157
8600000US01775,ZCTA5 01775,7133,27
8600000US01776,ZCTA5 01776,19122,25
8600000US01778,ZCTA5 01778,14088,194
8600000US01801,ZCTA5 01801,40359,91
8600000US01803,ZCTA5 01803,27650,67
8600000US01810,ZCTA5 01810,35816,55
8600000US01821,ZCTA5 01821,32797,525
8600000US01824,ZCTA5 01824,25754,359
8600000US01826,ZCTA5 01826,31294,99
8600000US01827,ZCTA5 01827,3366,20
8600000US01830,ZCTA5 01830,26305,892
8600000US01832,ZCTA5 01832,23270,825
8600000US01833,ZCTA5 01833,8695,20
8600000US01834,ZCTA5 01834,6780,25
8600000US01835,ZCTA5 01835,13958,544
8600000US01840,ZCTA5 01840,5573,567
8600000US01841,ZCTA5 01841,49367,1134
8600000US01843,ZCTA5 01843,25002,1129
8600000US01844,ZCTA5 01844,50282,59
8600000US01845,ZCTA5 01845,30842,28
8600000US01850,ZCTA5 01850,16151,730
8600000US01851,ZCTA5 01851,30686,908
8600000US01852,ZCTA5 01852,35532,909
8600000US01854,ZCTA5 01854,28937,1014
8600000US01860,ZCTA5 01860,6890,19
8600000US01862,ZCTA5 01862,10623,540
8600000US01863,ZCTA5 01863,9372,362
8600000US01864,ZCTA5 01864,15581,23
8600000US01867,ZCTA5 01867,25077,85
8600000US01876,ZCTA5 01876,30878,130
8600000US01879,ZCTA5 01879,12443,100
8600000US01880,ZCTA5 01880,26720,92
8600000US01886,ZCTA5 01886,24342,42
8600000US01887,ZCTA5 01887,23377,45
8600000US01890,ZCTA5 01890,22738,35
8600000US01901,ZCTA5 01901,2135,469
8600000US01902,ZCTA5 01902,49641,1298
8600000US01904,ZCTA5 01904,17294,1097
8600000US01905,ZCTA5 01905,24580,922
8600000US01906,ZCTA5 01906,28222,42
8600000US01907,ZCTA5 01907,15278,187
8600000US01908,ZCTA5 01908,3502,20
8600000US01913,ZCTA5 01913,17434,46
8600000US01915,ZCTA5 01915,41885,25
8600000US01921,ZCTA5 01921,8282,16
8600000US01922,ZCTA5 01922,3910,437
8600000US01923,ZCTA5 01923,27406,44
8600000US01929,ZCTA5 01929,3745,20
8600000US01930,ZCTA5 01930,30162,26
8600000US01937,ZCTA5 01937,180,35
8600000US01938,ZCTA5 01938,13963,25
8600000US01940,ZCTA5 01940,13474,213
8600000US01944,ZCTA5 01944,5383,18
8600000US01945,ZCTA5 01945,20500,40
8600000US01949,ZCTA5 01949,9872,17
8600000US01950,ZCTA5 01950,18077,30
8600000US01951,ZCTA5 01951,3150,439
8600000US01952,ZCTA5 01952,9379,83
8600000US01960,ZCTA5 01960,52628,168
8600000US01966,ZCTA5 01966,7231,18
8600000US01969,ZCTA5 01969,6372,19
8600000US01970,ZCTA5 01970,43033,158
8600000US01982,ZCTA5 01982,8031,22
8600000US01983,ZCTA5 01983,6568,27
8600000US01984,ZCTA5 01984,5240,21
8600000US01985,ZCTA5 01985,4631,17
8600000US02019,ZCTA5 02019,17108,29
8600000US02021,ZCTA5 02021,23369,66
8600000US02025,ZCTA5 02025,8484,22
8600000US02026,ZCTA5 02026,25265,57
8600000US02030,ZCTA5 02030,6044,25
8600000US02032,ZCTA5 02032,4194,500
8600000US02035,ZCTA5 02035,17727,28
8600000US02038,ZCTA5 02038,33256,36
8600000US02043,ZCTA5 02043,23652,22
8600000US02045,ZCTA5 02045,10455,24
8600000US02047,ZCTA5 02047,97,60
8600000US02048,ZCTA5 02048,23947,30
8600000US02050,ZCTA5 02050,26222,285
8600000US02052,ZCTA5 02052,12841,35
8600000US02053,ZCTA5 02053,13325,20
8600000US02054,ZCTA5 02054,8233,23
8600000US02056,ZCTA5 02056,11309,192
8600000US02061,ZCTA5 02061,11054,18
8600000US02062,ZCTA5 02062,29306,31
8600000US02066,ZCTA5 02066,18239,286
8600000US02067,ZCTA5 02067,18508,45
8600000US02071,ZCTA5 02071,1526,432
8600000US02072,ZCTA5 02072,28639,41
8600000US02081,ZCTA5 02081,19904,628
8600000US02090,ZCTA5 02090,16154,40
8600000US02093,ZCTA5 02093,11823,39
8600000US02108,ZCTA5 02108,4454,479
8600000US02109,ZCTA5 02109,4190,885
8600000US02110,ZCTA5 02110,2314,363
8600000US02111,ZCTA5 02111,7926,675
8600000US02113,ZCTA5 02113,6966,405
8600000US02114,ZCTA5 02114,13335,669
8600000US02115,ZCTA5 02115,28652,994
8600000US02116,ZCTA5 02116,23157,979
8600000US02118,ZCTA5 02118,28262,1258
8600000US02119,ZCTA5 02119,27818,1146
8600000US02120,ZCTA5 02120,15188,1201
8600000US02121,ZCTA5 02121,30159,1461
8600000US02122,ZCTA5 02122,24485,1125
8600000US02124,ZCTA5 02124,56649,1933
8600000US02125,ZCTA5 02125,34847,1175
8600000US02126,ZCTA5 02126,29620,1733
8600000US02127,ZCTA5 02127,37634,1080
8600000US02128,ZCTA5 02128,47263,1593
8600000US02129,ZCTA5 02129,19890,753
8600000US02130,ZCTA5 02130,40749,1364
8600000US02131,ZCTA5 02131,34419,1322
8600000US02132,ZCTA5 02132,27801,866
8600000US02134,ZCTA5 02134,19907,948
8600000US02135,ZCTA5 02135,44951,1296
8600000US02136,ZCTA5 02136,35213,1548
8600000US02138,ZCTA5 02138,38504,1173
8600000US02139,ZCTA5 02139,38715,1033
8600000US02140,ZCTA5 02140,21490,890
8600000US02141,ZCTA5 02141,14522,605
8600000US02142,ZCTA5 02142,3676,405
8600000US02143,ZCTA5 02143,25327,947
8600000US02144,ZCTA5 02144,24818,932
8600000US02145,ZCTA5 02145,28402,897
8600000US02148,ZCTA5 02148,60984,33
8600000US02149,ZCTA5 02149,46118,36
8600000US02150,ZCTA5 02150,39983,48
8600000US02151,ZCTA5 02151,53701,62
8600000US02152,ZCTA5 02152,18542,24
8600000US02155,ZCTA5 02155,59735,309
8600000US02163,ZCTA5 02163,2621,449
8600000US02169,ZCTA5 02169,56523,853
8600000US02170,ZCTA5 02170,19848,990
8600000US02171,ZCTA5 02171,17836,893
8600000US02176,ZCTA5 02176,28113,56
8600000US02180,ZCTA5 02180,23223,27
8600000US02184,ZCTA5 02184,37220,49
8600000US02186,ZCTA5 02186,27572,34
8600000US02188,ZCTA5 02188,15831,881
8600000US02189,ZCTA5 02189,15296,795
8600000US02190,ZCTA5 02190,17247,729
8600000US02191,ZCTA5 02191,8360,429
8600000US02199,ZCTA5 02199,1157,275
8600000US02203,ZCTA5 02203,30,25
8600000US02210,ZCTA5 02210,3715,461
8600000US02215,ZCTA5 02215,25770,1299
8600000US02301,ZCTA5 02301,63420,1083
8600000US02302,ZCTA5 02302,32174,1086
8600000US02322,ZCTA5 02322,4500,20
8600000US02324,ZCTA5 02324,27436,27
8600000US02330,ZCTA5 02330,11720,30
8600000US02332,ZCTA5 02332,15812,22
8600000US02333,ZCTA5 02333,14466,54
8600000US02338,ZCTA5 02338,7842,16
8600000US02339,ZCTA5 02339,14459,21
8600000US02341,ZCTA5 02341,10777,33
8600000US02343,ZCTA5 02343,10423,941
8600000US02346,ZCTA5 02346,24802,64
8600000US02347,ZCTA5 02347,11420,78
8600000US02351,ZCTA5 02351,16436,36
8600000US02356,ZCTA5 02356,13312,535
8600000US02357,ZCTA5 02357,1061,239
8600000US02359,ZCTA5 02359,18380,30
8600000US02360,ZCTA5 02360,59826,48
8600000US02364,ZCTA5 02364,13566,42
8600000US02366,ZCTA5 02366,198,41
8600000US02367,ZCTA5 02367,2954,28
8600000US02368,ZCTA5 02368,34686,948
8600000US02370,ZCTA5 02370,17953,39
8600000US02375,ZCTA5 02375,10248,536
8600000US02379,ZCTA5 02379,7198,50
8600000US02382,ZCTA5 02382,15056,28
8600000US02420,ZCTA5 02420,14718,531
8600000US02421,ZCTA5 02421,18622,527
8600000US02445,ZCTA5 02445,21074,843
8600000US02446,ZCTA5 02446,29862,786
8600000US02451,ZCTA5 02451,18246,657
8600000US02452,ZCTA5 02452,14909,695
8600000US02453,ZCTA5 02453,29505,792
8600000US02457,ZCTA5 02457,1752,199
8600000US02458,ZCTA5 02458,12778,613
8600000US02459,ZCTA5 02459,19012,794
8600000US02460,ZCTA5 02460,9773,733
8600000US02461,ZCTA5 02461,7084,550
8600000US02462,ZCTA5 02462,1389,256
8600000US02464,ZCTA5 02464,3326,311
8600000US02465,ZCTA5 02465,11814,612
8600000US02466,ZCTA5 02466,8929,506
8600000US02467,ZCTA5 02467,22269,921
8600000US02468,ZCTA5 02468,5623,315
8600000US02472,ZCTA5 02472,35518,89
8600000US02474,ZCTA5 02474,27878,577
8600000US02476,ZCTA5 02476,17426,577
8600000US02478,ZCTA5 02478,26099,34
8600000US02481,ZCTA5 02481,16140,461
8600000US02482,ZCTA5 02482,10855,445
8600000US02492,ZCTA5 02492,20571,428
8600000US02493,ZCTA5 02493,12112,25
8600000US02494,ZCTA5 02494,10399,429
8600000US02532,ZCTA5 02532,13218,846
8600000US02534,ZCTA5 02534,887,379
8600000US02535,ZCTA5 02535,1753,312
8600000US02536,ZCTA5 02536,19630,546
8600000US02537,ZCTA5 02537,6689,649
8600000US02538,ZCTA5 02538,4128,640
8600000US02539,ZCTA5 02539,4320,17
8600000US02540,ZCTA5 02540,8346,673
8600000US02542,ZCTA5 02542,949,175
8600000US02543,ZCTA5 02543,649,188
8600000US02553,ZCTA5 02553,111,112
8600000US02554,ZCTA5 02554,10935,137
8600000US02556,ZCTA5 02556,2499,370
8600000US02557,ZCTA5 02557,4665,33
8600000US02558,ZCTA5 02558,1170,365
8600000US02559,ZCTA5 02559,3746,508
8600000US02561,ZCTA5 02561,296,214
8600000US02562,ZCTA5 02562,3094,377
8600000US02563,ZCTA5 02563,9861,678
8600000US02564,ZCTA5 02564,233,137
8600000US02568,ZCTA5 02568,4107,25
8600000US02571,ZCTA5 02571,10608,940
8600000US02575,ZCTA5 02575,2418,313
8600000US02576,ZCTA5 02576,4383,630
8600000US02584,ZCTA5 02584,0,12
8600000US02601,ZCTA5 02601,15677,754
8600000US02630,ZCTA5 02630,1957,469
8600000US02631,ZCTA5 02631,9730,80
8600000US02632,ZCTA5 02632,10208,569
8600000US02633,ZCTA5 02633,4070,282
8600000US02635,ZCTA5 02635,3004,497
8600000US02637,ZCTA5 02637,199,82
8600000US02638,ZCTA5 02638,3126,325
8600000US02639,ZCTA5 02639,3198,361
8600000US02641,ZCTA5 02641,194,106
8600000US02642,ZCTA5 02642,4876,49
8600000US02643,ZCTA5 02643,0,12
8600000US02644,ZCTA5 02644,3791,416
8600000US02645,ZCTA5 02645,9116,426
8600000US02646,ZCTA5 02646,2094,352
8600000US02647,ZCTA5 02647,97,81
8600000US02648,ZCTA5 02648,6667,494
8600000US02649,ZCTA5 02649,14148,51
8600000US02650,ZCTA5 02650,901,195
8600000US02651,ZCTA5 02651,25,40
8600000US02652,ZCTA5 02652,687,233
8600000US02653,ZCTA5 02653,5856,54
8600000US02655,ZCTA5 02655,3208,334
8600000US02657,ZCTA5 02657,2973,26
8600000US02659,ZCTA5 02659,1021,212
8600000US02660,ZCTA5 02660,6196,411
8600000US02663,ZCTA5 02663,102,99
8600000US02664,ZCTA5 02664,8693,500
8600000US02666,ZCTA5 02666,435,182
8600000US02667,ZCTA5 02667,3515,292
8600000US02668,ZCTA5 02668,2660,403
8600000US02669,ZCTA5 02669,27,36
8600000US02670,ZCTA5 02670,1195,155
8600000US02671,ZCTA5 02671,1026,233
8600000US02672,ZCTA5 02672,277,195
8600000US02673,ZCTA5 02673,8517,567
8600000US02675,ZCTA5 02675,6580,484
